DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1186/S40854-024-00675-7,Investor sentiment networks: mapping connectedness in DJIA stocks,"Kingstone Nyakurukwa,  Yudhvir Seetharam",Financial Innovation,2025,"Abstract This study examines the connectedness of firm-level online investor sentiment using Dow Jones Industrial Average constituent stocks. Leveraging two proxies of online textual sentiment, namely news media and social media sentiment, we investigate sentiment connectedness at two levels: frequency interval and asymmetric level. Frequency connectedness dissects connectedness into short-, medium-, and long-term investing horizons, while asymmetric connectedness focuses on the transmission of positive and negative sentiment shocks on news and social media platforms. Our results reveal interesting patterns in which both news and social media sentiments demonstrate consistency in connectedness across the short-, medium-, and long-term. Regarding asymmetric connectedness, we observe that negative news sentiment has a higher connectedness than positive news sentiments.",339e74fd-11cc-4356-b716-2a854fed8989,3,49,(missing PubMedId)
10.2139/SSRN.5183852,Emotion-Aware Decision Support System for Real-Time Financial Sentiment and Behavior-Based Trading Risk Advisory,Tristan Lim,(missing journal),2024,(missing abstract),478efd42-698b-457f-9816-1ecb043b0058,1,0,(missing PubMedId)
10.2139/SSRN.5086825,Limitations of News Sentiment Analysis in Short-term Stock Return Prediction: A Multi-Level Approach,Gael Kengmegni,(missing journal),2024,"In this paper, I investigate the challenges and limitations of using news sentiment analysis for predicting next-day stock returns in the U.S. equity market. While sentiment analysis has shown promise in long-term market prediction, its effectiveness for short-term prediction remains contentious. I propose a novel multi-level approach that integrates sentiment analysis across individual stocks, industries, and the broader economy, extending previous hierarchical market analysis frameworks using a comprehensive dataset combining financial news from Bloomberg, Reuters, and Yahoo Finance (2009-2023). My methodology employs an instruction-pre trained LLaMA 3 8B model for sentiment analysis, selected benchmarking against other state-of-the-art models including RoBERTa Large, FinBERT, and LLaMA 3 8B on the FiQA and FPB datasets. Following recent advances in financial NLP, I augment traditional sentiment features with market data, implementing separate models of high-coverage (>150 articles annually) and low-coverage stocks to account for varying news frequency. My results demonstrate several key findings. First, even with sophisticated sentiment analysis and feature augmentation, accurate next-day return prediction remains elusive, supporting the efficient market hypothesis at short time horizons. Second, when incorporating both sentiment and market features, models tend to overfit on price-based features, diminishing the impact of sentiment signals. Third, I find that economy-wide sentiment features demonstrate higher predictive power than industry specific or stock-specific sentiment, suggesting the importance of broader market sentiment over individual stock news. My trading strategy back tests reveal that the most robust results come from focusing on less-covered stocks with the consistent correlation between sentiment and returns, though even these strategies show limited economic significance when accounting for transaction costs. Surprisingly, sources often considered less reliable (Benzinga, Zacks) showed more stable sentiment signals than traditional news providers. These findings contribute to the growing body of literature on the limitations of sentiment-based trading strategies and highlight the importance of realistic expectations in sentiment driven algorithmic trading. It should be noted that all analyses and conclusions are subject to the limitations of the underlying datasets used, including potential survivorship bias in the stock universe and varying quality of news coverage across different sources and time periods. Keywords sentiment analysis • stock return prediction • natural language processing • multi-level analysis • algorithmic trading",7d059e0e-3d54-4fb9-b444-3cc955155d8b,0,41,(missing PubMedId)
10.20944/PREPRINTS202411.0102.V1,Revolutionizing Crypto Forecasts: Deep Learning and Sentiment Synergy for Price Prediction,"Fatemeh Saadatmand,  Reza Semyari, Kia Jahanbin",(missing journal),2024,"Predicting stock and cryptocurrency prices is challenging. One method involves ana-lyzing opinions from individuals and experts. This article focuses on analyzing social media sen-timents for predicting Bitcoin prices using various criteria. In this article, unlike other articles that only used the points obtained from sentiment analysis of tweets, we combined the points of tweets based on other criteria, such as the highest like counts, the highest volume of tweets, and the weighted scores of tweets. In the first stage, we evaluated the deep learning models SL, LG, LGC, BL, and BG without considering sentiment. Ultimately, the BG model performed well in evaluation metrics such as MAE and Loss. In the second stage, we examined the impact of tweet volume on the models&amp;#039; performance. In the third stage, we utilized the simulation results of the VADER model. For the fourth stage, we considered the maximum likes for tweets as a sentiment analysis tool. Finally, in the last stage, which is the main focus of this article, we employed weighted averaging for sentiment analysis. Model BG provided approximately 11% improvement based on the MAE metric and about 15% improvement based on the Loss metric for better detection the following day.",b750c879-2ff4-4599-95cb-3208d6934ec5,0,0,(missing PubMedId)
10.1111/1468-5973.12577,Analyzing social media reactions to the FTX crisis: Unraveling the spillover effect on crypto markets,"Chunsik Lee, Suan Lee, Junga Kim, Joon Soo Lim",Journal of Contingencies and Crisis Management,2024,"In this study, we analyzed social media conversations during the unfolding of the FTX crisis, the biggest cryptocurrency scandal in United States history. Drawing on the accessibility‐diagnosticity framework, we examined the negative spillover effect of the crisis using a natural language processing approach. We specifically assessed whether there was a negative spillover from FTX to other crypto entities with different levels of diagnostic attribute similarity. We collected a large corpus of Twitter conversations related to the FTX collapse in 2022 and used the association rule analysis to determine the association between FTX and other crypto entities. Our analysis revealed that the number of tweets mentioning FTX and other crypto entities changed in line with a series of real‐world events during the FTX crisis. The negative spillover of the FTX crisis occurred primarily during the first 10 days as the FTX scandal unfolded. The results indicated that the FTX crisis spilled over to highly accessible and diagnostic crypto entities, such as Binance, Bitcoin, and the cryptocurrency industry in general. On the other hand, less accessible and less diagnostic crypto entities/currencies like Ethereum and Coinbase did not experience negative spillover from the scandal.",537e6d32-f8f9-4e2e-8fbc-1b71f654d0b6,2,25,(missing PubMedId)
10.5281/ZENODO.7179948,The Relation between Gold Price Movement and Bitcoin Investment Sentiment,"Nastaran Shahvari,  Nastaran Shahvari",Zenodo (CERN European Organization for Nuclear Research),2022,(missing abstract),b81fbb18-270d-4476-ad9b-121713f8a71f,1,0,(missing PubMedId)
10.3390/E27040345,Too Sensitive to Fail: The Impact of Sentiment Connectedness on Stock Price Crash Risk,"Jie Cao,  Guoqing He,  Ying Jiao",Entropy,2025,"Using a sample of S&amp;P 500 stocks, this paper examines the investor sentiment spillover network between firms and assesses how the sentiment connectedness in the network impacts stock price crash risk. We demonstrate that firms with higher sentiment connectedness are more likely to crash as they spread more irrational sentiment signals and are more sensitive to investor behaviors. Notably, we find that the effect of investor sentiment on crash risk mainly stems from sentiment connectedness among firms rather than firms’ individual sentiment, especially when market sentiment is surging or declining. These findings remain robust after controlling for other determinants of crash risk, including stock price synchronicity, accounting conservatism, and internal corporate governance strength. Our results underscore the importance of sentiment connectedness among firms and provide valuable insights for risk management among investors and regulatory authorities involved in monitoring risk.",3b45f28c-a493-4aa4-a8b0-912868c9cc07,3,119,https://pubmed.ncbi.nlm.nih.gov/40282580
(missing DOI),Applications of machine learning in finance: analysis of international portfolio flows using regime-switching models,Ruairí Ó Cinnéide,(missing journal),2018,(missing abstract),4278cc0c-5dd6-4a53-84fc-ae1b3379fa81,0,0,(missing PubMedId)
10.1007/S10479-024-05821-Z,The role of news-based sentiment in forecasting crude oil price during the Covid-19 pandemic,"Jean‐Michel Sahut, Petr Hájek, Vladimír Olej, Lubica Hikkerova",Annals of Operations Research,2024,(missing abstract),ad60d957-6739-4206-9081-09916c8bacae,12,69,(missing PubMedId)
10.2139/SSRN.5135573,A Comprehensive Survey on the Integration of Reinforcement Learning and NLP for Stock Market Trading,"Brian Ferrell,  Bridget T. McInnes",(missing journal),2024,(missing abstract),bb096077-7cff-4e3d-baf9-86b04fc840d8,0,106,(missing PubMedId)
