"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UPXRXAXB","journalArticle","","Baker, Malcolm; Wurgler, Jeffrey","Investor Sentiment in the Stock Market","","","","","","","","2026-01-14 19:15:13","2026-01-14 19:15:13","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathanrocha/Zotero/storage/J3Q5UJVR/Baker and Wurgler - Investor Sentiment in the Stock Market.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GX2AIJBA","journalArticle","2011","Bollen, Johan; Mao, Huina; Zeng, Xiaojun","Twitter mood predicts the stock market","Journal of Computational Science","","18777503","10.1016/j.jocs.2010.12.007","https://linkinghub.elsevier.com/retrieve/pii/S187775031100007X","Behavioral economics tells us that emotions can profoundly affect individual behavior and decisionmaking. Does this also apply to societies at large, i.e. can societies experience mood states that affect their collective decision making? By extension is the public mood correlated or even predictive of economic indicators? Here we investigate whether measurements of collective mood states derived from largescale Twitter feeds are correlated to the value of the Dow Jones Industrial Average (DJIA) over time. We analyze the text content of daily Twitter feeds by two mood tracking tools, namely OpinionFinder that measures positive vs. negative mood and Google-Proﬁle of Mood States (GPOMS) that measures mood in terms of 6 dimensions (Calm, Alert, Sure, Vital, Kind, and Happy). We cross-validate the resulting mood time series by comparing their ability to detect the public’s response to the presidential election and Thanksgiving day in 2008. A Granger causality analysis and a Self-Organizing Fuzzy Neural Network are then used to investigate the hypothesis that public mood states, as measured by the OpinionFinder and GPOMS mood time series, are predictive of changes in DJIA closing values. Our results indicate that the accuracy of DJIA predictions can be signiﬁcantly improved by the inclusion of speciﬁc public mood dimensions but not others. We ﬁnd an accuracy of 86.7% in predicting the daily up and down changes in the closing values of the DJIA and a reduction of the Mean Average Percentage Error (MAPE) by more than 6%.","2011-03","2026-01-14 19:15:15","2026-01-14 19:15:15","2026-01-14 19:15:15","1-8","","1","2","","Journal of Computational Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/ZA4RHUAS/Bollen et al. - 2011 - Twitter mood predicts the stock market.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM4D6HHT","journalArticle","2022","Caferra, Rocco","Sentiment spillover and price dynamics: Information flow in the cryptocurrency and stock market","Physica A: Statistical Mechanics and its Applications","","03784371","10.1016/j.physa.2022.126983","https://linkinghub.elsevier.com/retrieve/pii/S0378437122000747","This study examines the sentiment–returns relationship in both stock (S&P500) and cryptocurrency (Bitcoin) markets. An explorative wavelet analysis evidences period of episodic interconnectedness across different data frequencies. Therefore, Transfer Entropy (ET) measures remark the relative statistical significance, frequently outperforming traditional (VAR) estimates. In particular, ET methods successfully identify the mediating role of sentiments in connecting the two different markets. Hence, it is discussed how the potential cryptocurrencies indirect linkage with real economy moves through market sentiments.","2022-05","2026-01-14 19:15:17","2026-01-14 19:15:17","2026-01-14 19:15:17","126983","","","593","","Physica A: Statistical Mechanics and its Applications","Sentiment spillover and price dynamics","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/TCR9UQR6/Caferra - 2022 - Sentiment spillover and price dynamics Information flow in the cryptocurrency and stock market.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCKBRA6V","journalArticle","2025","Cao, Jie; He, Guoqing; Jiao, Yaping","Too Sensitive to Fail: The Impact of Sentiment Connectedness on Stock Price Crash Risk","Entropy","","1099-4300","10.3390/e27040345","https://www.mdpi.com/1099-4300/27/4/345","Using a sample of S&P 500 stocks, this paper examines the investor sentiment spillover network between firms and assesses how the sentiment connectedness in the network impacts stock price crash risk. We demonstrate that firms with higher sentiment connectedness are more likely to crash as they spread more irrational sentiment signals and are more sensitive to investor behaviors. Notably, we find that the effect of investor sentiment on crash risk mainly stems from sentiment connectedness among firms rather than firms’ individual sentiment, especially when market sentiment is surging or declining. These findings remain robust after controlling for other determinants of crash risk, including stock price synchronicity, accounting conservatism, and internal corporate governance strength. Our results underscore the importance of sentiment connectedness among firms and provide valuable insights for risk management among investors and regulatory authorities involved in monitoring risk.","2025-03-27","2026-01-14 19:15:18","2026-01-14 19:15:18","2026-01-14 19:15:18","345","","4","27","","Entropy","Too Sensitive to Fail","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/V9W5KZ7P/Cao et al. - 2025 - Too Sensitive to Fail The Impact of Sentiment Connectedness on Stock Price Crash Risk.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVF9EB5Y","journalArticle","2024","Shu, Yizhan; Yu, Chenyu; Mulvey, John M.","Downside risk reduction using regime-switching signals: a statistical jump model approach","Journal of Asset Management","","1470-8272, 1479-179X","10.1057/s41260-024-00376-x","https://link.springer.com/10.1057/s41260-024-00376-x","This article investigates a regime-switching investment strategy aimed at mitigating downside risk by reducing market exposure during anticipated unfavorable market regimes. We highlight the statistical jump model (JM) for market regime identification, a recently developed robust model that distinguishes itself from traditional Markov-switching models by enhancing regime persistence through a jump penalty applied at each state transition. Our JM utilizes a feature set comprising risk and return measures derived solely from the return series, with the optimal jump penalty selected through a time series cross-validation method that directly optimizes strategy performance. Our empirical analysis evaluates the realistic out-ofsample performance of various strategies on major equity indices from the US, Germany, and Japan from 1990 to 2023, in the presence of transaction costs and trading delays. The results demonstrate the consistent outperformance of the JM-guided strategy in reducing risk metrics such as volatility and maximum drawdown, and enhancing risk-adjusted returns like the Sharpe ratio, when compared to both hidden Markov model-guided strategy and the buy-and-hold strategy. These findings underline the enhanced persistence, practicality, and versatility of strategies utilizing JMs for regime-switching signals.","2024-09","2026-01-14 19:15:19","2026-01-14 19:15:19","2026-01-14 19:15:19","493-507","","5","25","","J Asset Manag","Downside risk reduction using regime-switching signals","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/AVCN4XE5/Shu et al. - 2024 - Downside risk reduction using regime-switching signals a statistical jump model approach.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXN53DFS","journalArticle","2025","Cicekyurt, Emre; Bakal, Gokhan","Enhancing Sentiment Analysis in Stock Market Tweets Through BERT-Based Knowledge Transfer","Computational Economics","","0927-7099, 1572-9974","10.1007/s10614-025-10901-8","https://link.springer.com/10.1007/s10614-025-10901-8","One of the widely studied text classification efforts is sentiment analysis. It is a specific examination involving natural language processing and machine learning methods to understand semantic orientation from textual data. Working social media posts, such as tweets, for sentiment analysis, is quite common among researchers due to the speed of information dissemination. In this regard, forecasting stock market tweets is a widely studied research topic. Some studies have revealed a strong connection between sentiment and stock market performance, while others have not found any notable associations. The proposed work shows two distinct approaches to sentiment analysis over the stock market tweets. The first approach employs traditional machine learning algorithms, including logistic regression, random forest, and XGBoost. The second approach constructs deep learning (as a subfield of machine learning) models using LSTM and CNN algorithms to classify the test instances into positive, negative, or neutral classes through ten randomly shuffled data splits. In this study, the labeled data size is gradually increased utilizing a pre-trained model, FinBERT. It is exclusively employed to label unlabeled data instances to integrate them into the experiments. The goal is to monitor the effect of the additional newlylabeled examples on the sentiment analysis performance. The experiments showed that the average F1-score improved by 20% for the deep learning models and 17% for the machine learning models. In the end, the paper reveals a strong positive correlation between training data size and the classification performance of the experimental approaches.","2025-02-26","2026-01-14 19:15:20","2026-01-14 19:15:20","2026-01-14 19:15:20","","","","","","Comput Econ","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/87PBDFV8/Cicekyurt and Bakal - 2025 - Enhancing Sentiment Analysis in Stock Market Tweets Through BERT-Based Knowledge Transfer.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZU5ZYET","journalArticle","2020","Mishev, Kostadin; Gjorgjevikj, Ana; Vodenska, Irena; Chitkushev, Lubomir T.; Trajanov, Dimitar","Evaluation of Sentiment Analysis in Finance: From Lexicons to Transformers","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3009626","https://ieeexplore.ieee.org/document/9142175/","Financial and economic news is continuously monitored by ﬁnancial market participants. According to the efﬁcient market hypothesis, all past information is reﬂected in stock prices and new information is instantaneously absorbed in determining future stock prices. Hence, prompt extraction of positive or negative sentiments from news is very important for investment decision-making by traders, portfolio managers and investors. Sentiment analysis models can provide an efﬁcient method for extracting actionable signals from the news. However, ﬁnancial sentiment analysis is challenging due to domain-speciﬁc language and unavailability of large labeled datasets. General sentiment analysis models are ineffective when applied to speciﬁc domains such as ﬁnance. To overcome these challenges, we design an evaluation platform which we use to assess the effectiveness and performance of various sentiment analysis approaches, based on combinations of text representation methods and machine-learning classiﬁers. We perform more than one hundred experiments using publicly available datasets, labeled by ﬁnancial experts. We start the evaluation with speciﬁc lexicons for sentiment analysis in ﬁnance and gradually build the study to include word and sentence encoders, up to the latest available NLP transformers. The results show improved efﬁciency of contextual embeddings in sentiment analysis compared to lexicons and ﬁxed word and sentence encoders, even when large datasets are not available. Furthermore, distilled versions of NLP transformers produce comparable results to their larger teacher models, which makes them suitable for use in production environments.","2020","2026-01-14 19:15:22","2026-01-14 19:15:22","2026-01-14 19:15:22","131662-131682","","","8","","IEEE Access","Evaluation of Sentiment Analysis in Finance","","","","","","","en","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/B7I5D94H/Mishev et al. - 2020 - Evaluation of Sentiment Analysis in Finance From Lexicons to Transformers.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZDJJ68T","conferencePaper","2020","Zhang, Ruoyun; Yi, Chao; Chen, Yixin","Explainable Machine Learning for Regime-Based Asset Allocation","2020 IEEE International Conference on Big Data (Big Data)","978-1-7281-6251-5","","10.1109/BigData50022.2020.9378332","https://ieeexplore.ieee.org/document/9378332/","This paper explores an explainable AI model in the financial industry. Macroeconomic and market data serve as inputs of Hierarchical Clustering to distinguish among different economic regimes. Compared with traditional models such as Investment Clock, this method can adjust the classification standard in time according to recent market sentiment. The regime, therefore, can be interpreted by not only macro indicators but also investors’ mood swings using Artificial Intelligence. When we compute the statistical characteristics of returns of each asset, we find that they can be well distinguished among regimes. This method can also identify the abnormally large wave of the stock market from 2015 to 2016 by separating it as an unusual regime, which cannot be realized by traditional methods. The clustering technique enables us to explain and understand the current market status and predict different assets’ performances. Therefore, thanks to the superior interpretability of AI, the mean and variance of returns in each regime are estimated and viewed as viewpoints of the Black-Litterman asset allocation model to construct portfolios. To simulate the real situation, a dynamic backtesting method is used and asset weights change because of the rolling time windows. The results show that equipped with a simple timing strategy, the clustering technique can improve the results and yield excess returns. Some other machine learning techniques are also applied in an attempt to improve the model.","2020-12-10","2026-01-14 19:15:23","2026-01-14 19:15:23","2026-01-14 19:15:23","5480-5485","","","","","","","","","","","IEEE","Atlanta, GA, USA","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/GWUQKVVB/Zhang et al. - 2020 - Explainable Machine Learning for Regime-Based Asset Allocation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE International Conference on Big Data (Big Data)","","","","","","","","","","","","","","",""
"WG8JVQN2","conferencePaper","2024","Shen, Yanxin; Zhang, Pulin Kirin","Financial Sentiment Analysis on News and Reports Using Large Language Models and FinBERT","2024 IEEE 6th International Conference on Power, Intelligent Computing and Systems (ICPICS)","979-8-3503-7431-5","","10.1109/ICPICS62053.2024.10796670","https://ieeexplore.ieee.org/document/10796670/","Financial sentiment analysis (FSA) is crucial for evaluating market sentiment and making well-informed financial decisions. The advent of large language models (LLMs) such as BERT and its financial variant, FinBERT, has notably enhanced sentiment analysis capabilities. This paper investigates the application of LLMs and FinBERT for FSA, comparing their performance on news articles, financial reports and company announcements. The study emphasizes the advantages of prompt engineering with zero-shot and few-shot strategy to improve sentiment classification accuracy. Experimental results indicate that GPT-4o, with few-shot examples of financial texts, can be as competent as a well finetuned FinBERT in this specialized field.","2024-07-26","2026-01-14 19:15:24","2026-01-14 19:15:24","2026-01-14 19:15:24","717-721","","","","","","","","","","","IEEE","Shenyang, China","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/SMIGQIY8/Shen and Zhang - 2024 - Financial Sentiment Analysis on News and Reports Using Large Language Models and FinBERT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE 6th International Conference on Power, Intelligent Computing and Systems (ICPICS)","","","","","","","","","","","","","","",""
"TWSAGKHE","journalArticle","2025","Ehsan, Aqsa; Habib, Shaista; Sohail, Arman","Financial News Sentiment Analysis Using NLP and Machine Learning for Asset Price Prediction: A Systematic Review","VFAST Transactions on Software Engineering","","2309-3978, 2411-6246","10.21015/vtse.v13i3.2165","https://vfast.org/journals/index.php/VTSE/article/view/2165","Forecasting market movements in stocks, gold, and crude oil requires a deep understanding of how ﬁnancial news sentiment inﬂuences asset prices. Analyzing news sentiment is crucial for understanding market dynamics and forecasting price ﬂuctuations. However, creating accurate ﬁnancial news datasets, particularly in terms of proper labeling and sourcing, continues to be a signiﬁcant challenge. This paper presents a comprehensive literature review on ﬁnancial news sentiment analysis and its application in market trend prediction.By reviewing articles in reputable journals from 2018–2025, we consolidate key ﬁndings, including techniques for dataset creation, labeling, and sourcing, as well as the use of advanced methods such as Natural Language Processing (NLP) and deep learning models. This review contributes to the growing literature on sentiment analysis in the context of the relationship between stocks and commodities, especially gold, crude oil, and the role of global and market speciﬁc news sentiments in determining the assets prices. The study focuses on issues that concern researchers in this regard; it also compares the relative success of various prediction models and discusses the criteria for assessing their effectiveness.We propose solutions to current challenges and outline future research directions to improve sentiment analysis in ﬁnancial markets.","2025-09-30","2026-01-14 19:15:25","2026-01-14 19:15:25","2026-01-14 19:15:25","279-308","","3","13","","VFAST trans. softw. eng.","Financial News Sentiment Analysis Using NLP and Machine Learning for Asset Price Prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathanrocha/Zotero/storage/W76GCZJW/Ehsan et al. - 2025 - Financial News Sentiment Analysis Using NLP and Machine Learning for Asset Price Prediction A Syste.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
