date,cross-asset_ensemble_mean,cross-asset_ensemble_std,cross-asset_count,crypto_ensemble_mean,crypto_ensemble_std,crypto_count,equities_ensemble_mean,equities_ensemble_std,equities_count,forex_ensemble_mean,forex_ensemble_std,forex_count,src_market_data_ensemble_mean,src_market_data_ensemble_std,src_market_data_count,src_news_ensemble_mean,src_news_ensemble_std,src_news_count,src_social_ensemble_mean,src_social_ensemble_std,src_social_count,overall_ensemble_mean,overall_ensemble_std,overall_count,overall_vader_mean,overall_textblob_mean,overall_finbert_mean,overall_roberta_mean,overall_distilbert_mean
1969-12-31,,,,,,,-0.07944524,,1.0,,,,-0.07944524,,1.0,,,,,,,-0.07944524,,1,0.0,0.13636364,0.025352465,0.05196207,-0.9392309
2005-01-19,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-01-20,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-01-21,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-05-19,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-08-30,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-10-28,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-11-02,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-11-03,,,,,,,,,,-0.6943738,,1.0,-0.6943738,,1.0,,,,,,,-0.6943738,,1,-0.4019,-0.425,-0.87302464,-0.67286766,-0.99884325
2005-11-04,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-01-09,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-01-10,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-01-11,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-01-12,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-01-13,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-05-19,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-08-30,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-10-23,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-10-24,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2006-10-25,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2007-01-02,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2007-01-03,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2007-01-08,-0.30900353,,1.0,,,,,,,,,,-0.30900353,,1.0,,,,,,,-0.30900353,,1,0.0772,0.0,-0.5811574,-0.07239625,-0.9901421
2007-01-11,-0.50590813,0.08410087,3.0,,,,,,,,,,-0.50590813,0.08410087,3.0,,,,,,,-0.50590813,0.08410087,3,-0.0172,-0.020092592,-0.8383147,-0.45449582,-0.99659413
2007-02-11,0.26692453,,1.0,,,,,,,,,,0.26692453,,1.0,,,,,,,0.26692453,,1,0.0,0.6,0.7467201,-0.002047129,-0.32730994
2007-03-12,-0.61604863,,1.0,,,,,,,,,,-0.61604863,,1.0,,,,,,,-0.61604863,,1,-0.2732,0.0,-0.8827615,-0.6562344,-0.9992167
2007-04-06,-0.07724553,0.5965855,2.0,,,,,,,,,,-0.07724553,0.5965855,2.0,,,,,,,-0.07724553,0.5965855,2,-0.04185,0.0,-0.24242392,0.0068975687,0.03707519
2007-04-09,0.70048547,,1.0,,,,,,,,,,0.70048547,,1.0,,,,,,,0.70048547,,1,0.5106,0.43333334,0.6971781,0.83931756,0.98306996
2007-04-12,-0.20297718,,1.0,,,,,,,,,,-0.20297718,,1.0,,,,,,,-0.20297718,,1,0.3818,0.0,-0.9212429,-0.43192935,0.97044843
2007-04-23,,,,,,,,,,-0.69437367,,1.0,-0.69437367,,1.0,,,,,,,-0.69437367,,1,-0.4019,-0.425,-0.87302464,-0.67286724,-0.99884325
2007-05-07,0.3918538,,1.0,,,,,,,,,,0.3918538,,1.0,,,,,,,0.3918538,,1,0.1027,0.16,0.842562,0.6075112,-0.5006472
