date,cross_asset_ensemble_mean,cross_asset_ensemble_std,cross_asset_vader_mean,cross_asset_finbert_mean,cross_asset_roberta_mean,cross_asset_textblob_mean,cross_asset_distilbert_mean,cross_asset_count,crypto_ensemble_mean,crypto_ensemble_std,crypto_vader_mean,crypto_finbert_mean,crypto_roberta_mean,crypto_textblob_mean,crypto_distilbert_mean,crypto_count,equities_ensemble_mean,equities_ensemble_std,equities_vader_mean,equities_finbert_mean,equities_roberta_mean,equities_textblob_mean,equities_distilbert_mean,equities_count,forex_ensemble_mean,forex_ensemble_std,forex_vader_mean,forex_finbert_mean,forex_roberta_mean,forex_textblob_mean,forex_distilbert_mean,forex_count,news_ensemble_mean,news_ensemble_std,news_vader_mean,news_finbert_mean,news_roberta_mean,news_textblob_mean,news_distilbert_mean,news_count,social_ensemble_mean,social_ensemble_std,social_vader_mean,social_finbert_mean,social_roberta_mean,social_textblob_mean,social_distilbert_mean,social_count,cross_asset_mean,cross_asset_std,compound,positive,negative,neutral,total_count
2005-01-19,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-01-20,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-05-19,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-08-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-11-02,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-11-03,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-08-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-10-23,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-10-24,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2006-10-25,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2007-01-02,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2007-01-03,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2007-04-23,,,,,,,,,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.69437367,0.0,-0.69437367,0.30562633,1.0
2007-06-04,-0.07724553,0.5965855,-0.04185,-0.24242392,0.0068975687,0.0,0.03707519,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07724553,,-0.07724553,0.0,-0.07724553,0.92275447,2.0
2007-06-06,0.30907446,0.26268163,0.1441,0.6828958,0.19941397,0.1,0.05037843,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30907446,,0.30907446,0.30907446,0.0,0.69092554,5.0
2007-06-21,0.6243332,,0.0,0.920313,0.8496191,0.0,0.994645,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6243332,,0.6243332,0.6243332,0.0,0.3756668,1.0
2007-06-24,-0.11074706,,0.0,0.005302258,0.08564824,-0.1,-0.9705286,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11074706,,-0.11074706,0.0,-0.11074706,0.88925296,1.0
2007-06-26,-0.38156754,,0.128,-0.95771074,0.07294405,0.0,-0.9961515,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38156754,,-0.38156754,0.0,-0.38156754,0.61843246,1.0
2007-06-28,0.0065897834,,0.0,-0.04126482,0.06433646,0.0,0.027207404,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065897834,,0.0065897834,0.0065897834,0.0,0.9934102,1.0
2007-07-05,0.3918538,,0.1027,0.842562,0.6075112,0.16,-0.5006472,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3918538,,0.3918538,0.3918538,0.0,0.6081462,1.0
2007-07-06,-0.47829768,,-0.4404,-0.82932913,-0.051304385,0.0,-0.98985,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47829768,,-0.47829768,0.0,-0.47829768,0.5217023,1.0
2007-07-10,0.5342462,,0.5574,0.81241995,0.21674034,0.0,0.9733393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5342462,,0.5342462,0.5342462,0.0,0.4657538,1.0
2007-07-12,-0.0032160133,,-0.4019,0.84531754,-0.316224,0.0,-0.9037241,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032160133,,-0.0032160133,0.0,-0.0032160133,0.996784,1.0
2007-07-18,-0.14600542,,-0.0516,0.07542564,-0.16254997,0.0,-0.9541076,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14600542,,-0.14600542,0.0,-0.14600542,0.8539946,1.0
2007-07-25,-0.5435322,,0.0,-0.9498936,-0.48716336,0.0,-0.9991969,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5435322,,-0.5435322,0.0,-0.5435322,0.4564678,1.0
2007-07-26,-0.38926688,,0.0,-0.94000494,0.07309085,0.0,-0.91030437,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38926688,,-0.38926688,0.0,-0.38926688,0.61073315,1.0
2007-07-27,0.47844583,,0.0,0.87383735,0.33554927,0.0,0.9718746,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47844583,,0.47844583,0.47844583,0.0,0.5215542,1.0
2007-07-31,0.21463554,,0.0,0.9311508,0.17294438,0.0,-0.9566816,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21463554,,0.21463554,0.21463554,0.0,0.78536445,1.0
2007-08-01,-0.30900353,,0.0772,-0.5811574,-0.07239625,0.0,-0.9901421,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30900353,,-0.30900353,0.0,-0.30900353,0.69099647,1.0
2007-08-07,0.19082111,,0.4588,-0.021552354,0.09519895,0.0,0.7018518,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19082111,,0.19082111,0.19082111,0.0,0.8091789,1.0
2007-08-10,-0.6802652,,-0.4753,-0.93298066,-0.6986742,0.0,-0.9993717,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6802652,,-0.6802652,0.0,-0.6802652,0.3197348,1.0
2007-08-13,-0.48246533,,-0.4019,-0.8604565,-0.064424664,0.0,-0.97688204,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48246533,,-0.48246533,0.0,-0.48246533,0.5175347,1.0
2007-08-14,-0.1053456,,-0.4019,0.4623493,-0.20601168,0.0,-0.98376477,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1053456,,-0.1053456,0.0,-0.1053456,0.8946544,1.0
2007-08-15,-0.497664,,0.0,-0.92856485,-0.26503795,-0.13333334,-0.9964904,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.497664,,-0.497664,0.0,-0.497664,0.502336,1.0
2007-08-16,0.27687237,,0.0,0.24003512,0.31063482,0.0,0.9936215,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27687237,,0.27687237,0.27687237,0.0,0.7231276,1.0
2007-08-17,-0.25937757,,0.2023,-0.5758821,0.024499368,0.0,-0.9877642,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25937757,,-0.25937757,0.0,-0.25937757,0.7406224,1.0
2007-08-18,-0.09603219,,-0.2732,-0.36921197,0.75039274,0.0,-0.9362131,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09603219,,-0.09603219,0.0,-0.09603219,0.9039678,1.0
2007-08-20,0.05855082,,0.3612,-0.5632994,0.22657803,0.0,0.881699,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05855082,,0.05855082,0.05855082,0.0,0.94144917,1.0
2007-08-26,-0.50967026,,0.0,-0.8633965,-0.46365178,0.0,-0.99156713,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.50967026,,-0.50967026,0.0,-0.50967026,0.49032974,1.0
2007-08-28,-0.541994,0.025896542,0.07365,-0.9089267,-0.5874437,0.0,-0.9992224,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.541994,,-0.541994,0.0,-0.541994,0.45800602,2.0
2007-08-29,0.36103937,,0.4404,0.3186612,0.2232707,0.0,0.9845205,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36103937,,0.36103937,0.36103937,0.0,0.6389606,1.0
2007-08-30,0.58586216,,0.0,0.9157897,0.60525835,0.2,0.98690635,1.0,,,,,,,,,,,,,,,,,-0.69437367,,-0.4019,-0.87302464,-0.67286724,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.054255754,0.9052634,-0.054255754,0.29293108,-0.34718683,0.3598821,2.0
