date,ensemble_mean,ensemble_std,ensemble_median,finbert_mean,roberta_mean,vader_mean,textblob_mean,compound_mean,compound_std,compound_median,volume,pct_positive,pct_negative,pct_neutral,reliability
2000-02-15,0.5677285,,0.5677285,0.6711,0.9602999999999999,0.25,0.0,0.6711,,0.6711,1,1.0,0.0,0.0,very_low
2000-02-17,-0.2690161,,-0.2690161,-0.5201,-0.2914,0.0,0.0,-0.5201,,-0.5201,1,0.0,1.0,0.0,very_low
2000-03-24,-0.3127966,,-0.3127966,-0.3714,-0.392,-0.3182,0.0,-0.3714,,-0.3714,1,0.0,1.0,0.0,very_low
2000-04-27,0.2574635333333333,,0.2574635333333333,0.2924,0.4519,0.0,0.16666666666666666,0.2924,,0.2924,1,0.0,0.0,1.0,very_low
2000-05-04,0.45782449999999997,,0.45782449999999997,0.3613,0.7931,0.4767,0.0,0.3613,,0.3613,1,1.0,0.0,0.0,very_low
2000-05-17,-0.3773531,,-0.3773531,-0.3413,-0.5780000000000001,-0.4215,0.0,-0.3413,,-0.3413,1,0.0,0.0,1.0,very_low
2000-05-19,0.28559973333333327,,0.28559973333333327,0.4192,0.392,0.0,0.16666666666666666,0.4192,,0.4192,1,1.0,0.0,0.0,very_low
2000-05-30,0.029603250000000005,,0.029603250000000005,0.1671,-0.03319999999999999,0.0,-0.14375,0.1671,,0.1671,1,0.0,0.0,1.0,very_low
2000-06-07,-0.17335699999999998,,-0.17335699999999998,-0.544,-0.1815,0.34,0.0,-0.544,,-0.544,1,0.0,1.0,0.0,very_low
2000-06-21,0.22124889999999997,,0.22124889999999997,0.3303,0.3613,0.0,0.0,0.3303,,0.3303,1,1.0,0.0,0.0,very_low
2000-06-22,-0.004351233333333329,,-0.004351233333333329,0.1455,0.057100000000000005,-0.228,-0.16666666666666666,0.1455,,0.1455,1,0.0,0.0,1.0,very_low
2000-06-27,0.179251,,0.179251,0.3422,0.0996,0.0,0.2,0.3422,,0.3422,1,0.0,0.0,1.0,very_low
2000-06-28,0.2829075,,0.2829075,0.4793,0.3909,0.0,0.0,0.4793,,0.4793,1,1.0,0.0,0.0,very_low
2000-07-10,0.19874609999999998,,0.19874609999999998,0.2337,0.4032,0.0,0.0,0.2337,,0.2337,1,0.0,0.0,1.0,very_low
2000-07-11,-0.20429379999999997,,-0.20429379999999997,-0.268,-0.1583,-0.296,0.0,-0.268,,-0.268,1,0.0,0.0,1.0,very_low
2000-08-24,0.47759489999999993,,0.47759489999999993,0.3847,0.6803,0.6808,0.0,0.3847,,0.3847,1,0.0,0.0,1.0,very_low
2000-09-07,0.0523403,,0.0523403,0.1241,0.0281,0.0,0.0,0.1241,,0.1241,1,0.0,0.0,1.0,very_low
2000-09-08,-0.1858027,,-0.1858027,-0.3705,0.0343,-0.296,0.0,-0.3705,,-0.3705,1,0.0,1.0,0.0,very_low
2000-09-14,0.47062163333333334,,0.47062163333333334,0.5375,0.5217,0.4939,0.16666666666666666,0.5375,,0.5375,1,1.0,0.0,0.0,very_low
2000-10-10,0.08402609999999999,,0.08402609999999999,0.1899,0.1336,-0.1027,0.0,0.1899,,0.1899,1,0.0,0.0,1.0,very_low
2000-10-16,-0.15613429999999998,,-0.15613429999999998,-0.4295,-0.009800000000000003,0.0,0.0,-0.4295,,-0.4295,1,0.0,1.0,0.0,very_low
