date,predicted,actual,vix_close
2021-01-20,normal,normal,21.579999923706055
2021-01-21,normal,normal,21.31999969482422
2021-01-22,normal,normal,21.90999984741211
2021-01-25,elevated,normal,23.190000534057617
2021-01-26,normal,normal,23.020000457763672
2021-01-27,high_volatility,high_volatility,37.209999084472656
2021-01-28,elevated,elevated,30.209999084472656
2021-01-29,elevated,elevated,33.09000015258789
2021-02-01,normal,elevated,30.239999771118164
2021-02-02,normal,elevated,25.559999465942383
2021-02-03,elevated,normal,22.90999984741211
2021-02-04,normal,normal,21.770000457763672
2021-02-05,normal,normal,20.8700008392334
2021-02-08,elevated,normal,21.239999771118164
2021-02-09,normal,normal,21.6299991607666
2021-02-10,elevated,normal,21.989999771118164
2021-02-11,normal,normal,21.25
2021-02-12,elevated,normal,19.969999313354492
