date,predicted,actual,vix_close
2020-02-18,normal,low_volatility,14.829999923706055
2020-02-19,normal,low_volatility,14.380000114440918
2020-02-20,normal,normal,15.5600004196167
2020-02-21,normal,normal,17.079999923706055
2020-02-24,normal,elevated,25.030000686645508
2020-02-25,normal,elevated,27.850000381469727
2020-02-26,normal,elevated,27.559999465942383
2020-02-27,elevated,high_volatility,39.15999984741211
2020-02-28,normal,high_volatility,40.11000061035156
2020-03-02,normal,elevated,33.41999816894531
2020-03-03,normal,high_volatility,36.81999969482422
2020-03-04,normal,elevated,31.989999771118164
2020-03-05,normal,high_volatility,39.619998931884766
2020-03-06,normal,high_volatility,41.939998626708984
2020-03-09,normal,high_volatility,54.459999084472656
2020-03-10,normal,high_volatility,47.29999923706055
2020-03-11,normal,high_volatility,53.900001525878906
2020-03-12,elevated,high_volatility,75.47000122070312
2020-03-13,normal,high_volatility,57.83000183105469
2020-03-16,normal,high_volatility,82.69000244140625
2020-03-17,normal,high_volatility,75.91000366210938
2020-03-18,normal,high_volatility,76.44999694824219
2020-03-19,normal,high_volatility,72.0
2020-03-20,normal,high_volatility,66.04000091552734
2020-03-23,normal,high_volatility,61.59000015258789
2020-03-24,normal,high_volatility,61.66999816894531
2020-03-25,normal,high_volatility,63.95000076293945
2020-03-26,normal,high_volatility,61.0
2020-03-27,normal,high_volatility,65.54000091552734
2020-03-30,normal,high_volatility,57.08000183105469
2020-03-31,normal,high_volatility,53.540000915527344
2020-04-01,normal,high_volatility,57.060001373291016
2020-04-02,normal,high_volatility,50.90999984741211
2020-04-03,normal,high_volatility,46.79999923706055
2020-04-06,normal,high_volatility,45.2400016784668
2020-04-07,normal,high_volatility,46.70000076293945
2020-04-08,normal,high_volatility,43.349998474121094
2020-04-09,normal,high_volatility,41.66999816894531
2020-04-13,normal,high_volatility,41.16999816894531
2020-04-14,normal,high_volatility,37.7599983215332
2020-04-15,normal,high_volatility,40.84000015258789
