date,predicted_regime,confidence,prob_risk_on,prob_risk_off,prob_transition,actual,vix_close,regime
2023-03-01,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,20.579999923706055,normal
2023-03-02,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,19.59000015258789,normal
2023-03-03,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,18.489999771118164,normal
2023-03-06,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,18.610000610351562,normal
2023-03-07,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,19.59000015258789,normal
2023-03-08,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,19.110000610351562,normal
2023-03-09,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,22.610000610351562,normal
2023-03-10,risk_on,0.8814034414639098,0.8814034414639098,0.045418979024775145,0.07317757951131501,risk_on,24.799999237060547,normal
2023-03-13,transition,0.5268995950479168,0.39041787772655384,0.08268252722552932,0.5268995950479168,transition,26.520000457763672,elevated
2023-03-14,transition,0.6560644682652619,0.28882779377073736,0.05510773796400074,0.6560644682652619,risk_on,23.729999542236328,normal
2023-03-15,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,transition,26.139999389648438,elevated
2023-03-16,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,risk_on,22.989999771118164,normal
2023-03-17,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,transition,25.510000228881836,elevated
2023-03-20,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,risk_on,24.149999618530273,normal
2023-03-21,transition,0.6584494254213507,0.2862425063111944,0.055308068267454956,0.6584494254213507,risk_on,21.3799991607666,normal
2023-03-22,transition,0.6258666551442104,0.2720780565195915,0.10205528833619827,0.6258666551442104,risk_on,22.260000228881836,normal
2023-03-23,transition,0.4913128391173136,0.3356626051536653,0.17302455572902098,0.4913128391173136,risk_on,22.610000610351562,normal
2023-03-24,risk_off,0.6243906352186795,0.28919507676999184,0.6243906352186795,0.0864142880113287,risk_on,21.739999771118164,normal
2023-03-27,risk_off,0.5700304658350703,0.3113617416926038,0.5700304658350703,0.11860779247232578,risk_on,20.600000381469727,normal
2023-03-28,risk_off,0.5000715418022963,0.30729684221065995,0.5000715418022963,0.19263161598704379,risk_on,19.969999313354492,normal
2023-03-29,transition,0.49003335791383185,0.3347884696542197,0.17517817243194841,0.49003335791383185,risk_on,19.1200008392334,normal
2023-03-30,transition,0.5705395433747537,0.2993239141367347,0.1301365424885115,0.5705395433747537,risk_on,19.020000457763672,normal
2023-03-31,transition,0.6388876622601158,0.2777385758664914,0.08337376187339281,0.6388876622601158,risk_on,18.700000762939453,normal
