date,cross_asset_ensemble_mean,cross_asset_ensemble_std,cross_asset_vader_mean,cross_asset_finbert_mean,cross_asset_roberta_mean,cross_asset_textblob_mean,cross_asset_distilbert_mean,cross_asset_count,crypto_ensemble_mean,crypto_ensemble_std,crypto_vader_mean,crypto_finbert_mean,crypto_roberta_mean,crypto_textblob_mean,crypto_distilbert_mean,crypto_count,equities_ensemble_mean,equities_ensemble_std,equities_vader_mean,equities_finbert_mean,equities_roberta_mean,equities_textblob_mean,equities_distilbert_mean,equities_count,forex_ensemble_mean,forex_ensemble_std,forex_vader_mean,forex_finbert_mean,forex_roberta_mean,forex_textblob_mean,forex_distilbert_mean,forex_count,news_ensemble_mean,news_ensemble_std,news_vader_mean,news_finbert_mean,news_roberta_mean,news_textblob_mean,news_distilbert_mean,news_count,social_ensemble_mean,social_ensemble_std,social_vader_mean,social_finbert_mean,social_roberta_mean,social_textblob_mean,social_distilbert_mean,social_count,cross_asset_mean,cross_asset_std,compound,positive,negative,neutral,total_count
1969-12-31,,,,,,,,,,,,,,,,,-0.07944524,,0.0,0.025352465,0.05196207,0.13636364,-0.9392309,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.07944524,,-0.07944524,0.0,-0.07944524,0.92055476,1.0
2005-01-19,,,,,,,,,,,,,,,,,,,,,,,,,-0.6943738,,-0.4019,-0.87302464,-0.67286766,-0.425,-0.99884325,1.0,,,,,,,,,,,,,,,,,-0.6943738,,-0.6943738,0.0,-0.6943738,0.3056262,1.0
2007-06-04,-0.07724553,0.5965855,-0.04185,-0.24242392,0.0068975687,0.0,0.03707519,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07724553,,-0.07724553,0.0,-0.07724553,0.92275447,2.0
2007-06-06,0.3090743,0.26268154,0.1441,0.6828958,0.1994133,0.1,0.050378405,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3090743,,0.3090743,0.3090743,0.0,0.6909257,5.0
2007-06-21,0.6243333,,0.0,0.9203132,0.8496192,0.0,0.994645,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6243333,,0.6243333,0.6243333,0.0,0.37566668,1.0
2007-06-24,-0.11074706,,0.0,0.0053023323,0.08564821,-0.1,-0.9705287,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11074706,,-0.11074706,0.0,-0.11074706,0.88925296,1.0
2007-06-26,-0.3815676,,0.128,-0.9577108,0.07294391,0.0,-0.9961515,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3815676,,-0.3815676,0.0,-0.3815676,0.6184324,1.0
2007-06-28,0.0065899715,,0.0,-0.04126487,0.064336345,0.0,0.027209252,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065899715,,0.0065899715,0.0065899715,0.0,0.99341005,1.0
2007-07-05,0.3918537,,0.1027,0.842562,0.6075109,0.16,-0.5006474,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3918537,,0.3918537,0.3918537,0.0,0.6081463,1.0
2007-07-06,-0.47829756,,-0.4404,-0.8293287,-0.051304296,0.0,-0.98985,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47829756,,-0.47829756,0.0,-0.47829756,0.5217024,1.0
2007-07-10,0.5342461,,0.5574,0.81241995,0.21673992,0.0,0.9733393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5342461,,0.5342461,0.5342461,0.0,0.4657539,1.0
2007-07-12,-0.0032160282,,-0.4019,0.8453175,-0.31622398,0.0,-0.90372396,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032160282,,-0.0032160282,0.0,-0.0032160282,0.996784,1.0
2007-07-18,-0.14600566,,-0.0516,0.07542533,-0.16255046,0.0,-0.95410764,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14600566,,-0.14600566,0.0,-0.14600566,0.85399437,1.0
2007-07-25,-0.54353225,,0.0,-0.9498936,-0.48716366,0.0,-0.9991969,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54353225,,-0.54353225,0.0,-0.54353225,0.45646775,1.0
2007-07-26,-0.38926688,,0.0,-0.94000494,0.07309085,0.0,-0.91030437,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38926688,,-0.38926688,0.0,-0.38926688,0.61073315,1.0
2007-07-27,0.47844583,,0.0,0.87383735,0.33554927,0.0,0.9718746,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47844583,,0.47844583,0.47844583,0.0,0.5215542,1.0
