,regime,from_regime,to_regime
2007-06-04,normal,elevated,normal
2007-07-18,elevated,normal,elevated
2007-07-27,normal,elevated,normal
2007-08-10,elevated,normal,elevated
2007-08-14,normal,elevated,normal
2007-09-07,elevated,normal,elevated
2007-09-18,normal,elevated,normal
2007-09-19,elevated,normal,elevated
2007-09-24,normal,elevated,normal
2007-10-15,elevated,normal,elevated
2007-10-16,normal,elevated,normal
2007-10-17,elevated,normal,elevated
2007-10-18,normal,elevated,normal
2007-10-19,elevated,normal,elevated
2007-10-22,normal,elevated,normal
2007-10-30,elevated,normal,elevated
2007-10-31,normal,elevated,normal
2007-11-01,elevated,normal,elevated
2007-11-06,normal,elevated,normal
2007-11-09,elevated,normal,elevated
2007-11-14,normal,elevated,normal
2007-11-20,elevated,normal,elevated
2007-11-27,normal,elevated,normal
2007-12-13,elevated,normal,elevated
2007-12-17,normal,elevated,normal
2007-12-27,elevated,normal,elevated
2008-01-07,normal,elevated,normal
2008-01-14,elevated,normal,elevated
2008-01-23,normal,elevated,normal
2008-01-28,elevated,normal,elevated
2008-01-30,normal,elevated,normal
2008-01-31,elevated,normal,elevated
2008-02-06,normal,elevated,normal
2008-02-08,elevated,normal,elevated
2008-02-12,normal,elevated,normal
2008-02-15,elevated,normal,elevated
2008-02-19,normal,elevated,normal
2008-02-22,elevated,normal,elevated
2008-02-25,normal,elevated,normal
2008-02-26,elevated,normal,elevated
2008-02-27,normal,elevated,normal
2008-02-29,elevated,normal,elevated
2008-03-05,normal,elevated,normal
2008-03-07,elevated,normal,elevated
2008-03-11,normal,elevated,normal
2008-03-18,elevated,normal,elevated
2008-03-24,normal,elevated,normal
2008-03-25,elevated,normal,elevated
2008-04-07,normal,elevated,normal
2008-04-10,elevated,normal,elevated
2008-04-15,normal,elevated,normal
2008-04-23,elevated,normal,elevated
2008-04-28,normal,elevated,normal
2008-05-05,elevated,normal,elevated
2008-05-06,normal,elevated,normal
2008-05-07,elevated,normal,elevated
2008-05-12,normal,elevated,normal
2008-05-16,elevated,normal,elevated
2008-05-19,normal,elevated,normal
2008-05-29,elevated,normal,elevated
2008-06-03,normal,elevated,normal
2008-06-09,elevated,normal,elevated
2008-06-11,normal,elevated,normal
2008-06-12,elevated,normal,elevated
2008-06-23,normal,elevated,normal
2008-06-30,elevated,normal,elevated
2008-07-07,normal,elevated,normal
2008-07-09,elevated,normal,elevated
2008-07-16,normal,elevated,normal
2008-07-23,elevated,normal,elevated
2008-07-29,normal,elevated,normal
2008-07-30,elevated,normal,elevated
2008-08-01,normal,elevated,normal
2008-08-05,elevated,normal,elevated
2008-09-10,high_volatility,elevated,high_volatility
2009-06-04,elevated,high_volatility,elevated
2009-06-23,high_volatility,elevated,high_volatility
2009-07-16,elevated,high_volatility,elevated
2009-07-24,normal,elevated,normal
2009-07-28,elevated,normal,elevated
2009-08-06,normal,elevated,normal
2009-08-17,elevated,normal,elevated
2009-08-25,normal,elevated,normal
2009-09-18,elevated,normal,elevated
2009-09-21,normal,elevated,normal
2009-09-25,elevated,normal,elevated
2009-10-05,normal,elevated,normal
2009-10-08,elevated,normal,elevated
2009-10-13,normal,elevated,normal
2009-10-28,elevated,normal,elevated
2009-10-29,normal,elevated,normal
2009-11-12,elevated,normal,elevated
2009-11-13,normal,elevated,normal
2009-11-27,elevated,normal,elevated
2009-12-08,normal,elevated,normal
2009-12-15,elevated,normal,elevated
2009-12-16,normal,elevated,normal
2009-12-30,elevated,normal,elevated
2009-12-31,normal,elevated,normal
2010-01-06,elevated,normal,elevated
2010-01-07,normal,elevated,normal
2010-01-08,elevated,normal,elevated
2010-01-14,normal,elevated,normal
2010-02-23,elevated,normal,elevated
2010-02-24,normal,elevated,normal
2010-03-09,elevated,normal,elevated
2010-03-15,normal,elevated,normal
2010-03-31,elevated,normal,elevated
2010-04-05,normal,elevated,normal
2010-04-16,elevated,normal,elevated
2010-04-19,normal,elevated,normal
2010-05-05,elevated,normal,elevated
2010-05-06,normal,elevated,normal
2010-05-17,elevated,normal,elevated
2010-05-18,normal,elevated,normal
2010-05-19,elevated,normal,elevated
2010-05-20,normal,elevated,normal
2010-07-02,elevated,normal,elevated
2010-07-07,normal,elevated,normal
2010-07-20,elevated,normal,elevated
2010-07-21,normal,elevated,normal
2010-07-30,elevated,normal,elevated
2010-08-02,normal,elevated,normal
2010-08-06,elevated,normal,elevated
2010-08-09,normal,elevated,normal
2010-08-11,elevated,normal,elevated
2010-08-12,normal,elevated,normal
2010-09-03,elevated,normal,elevated
2010-09-08,normal,elevated,normal
2010-09-20,elevated,normal,elevated
2010-09-21,normal,elevated,normal
2010-09-28,elevated,normal,elevated
2010-09-30,normal,elevated,normal
2010-10-01,elevated,normal,elevated
2010-10-05,normal,elevated,normal
2010-10-20,elevated,normal,elevated
2010-10-21,normal,elevated,normal
2010-11-05,elevated,normal,elevated
2010-11-09,normal,elevated,normal
2010-11-11,elevated,normal,elevated
2010-11-12,normal,elevated,normal
2010-11-22,elevated,normal,elevated
2010-11-29,normal,elevated,normal
2010-12-16,elevated,normal,elevated
2010-12-17,normal,elevated,normal
2011-01-26,elevated,normal,elevated
2011-01-27,normal,elevated,normal
2011-02-04,elevated,normal,elevated
2011-02-07,normal,elevated,normal
2011-02-16,elevated,normal,elevated
2011-02-17,normal,elevated,normal
2011-03-01,elevated,normal,elevated
2011-03-03,normal,elevated,normal
2011-04-01,elevated,normal,elevated
2011-04-04,normal,elevated,normal
2011-04-06,elevated,normal,elevated
2011-04-07,normal,elevated,normal
2011-04-25,elevated,normal,elevated
2011-04-26,normal,elevated,normal
2011-05-16,elevated,normal,elevated
2011-05-17,normal,elevated,normal
2011-05-26,elevated,normal,elevated
2011-05-27,normal,elevated,normal
2011-06-10,elevated,normal,elevated
2011-06-13,normal,elevated,normal
2011-07-27,elevated,normal,elevated
2011-07-29,normal,elevated,normal
