date,value
2010-01-05,0.1739
2010-01-06,0.1676
2010-01-07,0.1615
2010-01-08,0.1535
2010-01-11,0.1419
2010-01-12,0.1421
2010-01-13,0.1488
2010-01-14,0.147
2010-01-15,0.1525
2010-01-19,0.1552
2010-01-20,0.1799
2010-01-21,0.2133
2010-01-22,0.231
2010-01-25,0.2415
2010-01-26,0.2466
2010-01-27,0.2504
2010-01-28,0.251
2010-01-29,0.2456
2010-02-01,0.2431
2010-02-02,0.2349
2010-02-03,0.2105
2010-02-04,0.2383
2010-02-05,0.2279
2010-02-08,0.2168
2010-02-09,0.2242
2010-02-10,0.2281
2010-02-11,0.2443
2010-02-12,0.2439
2010-02-16,0.2464
2010-02-17,0.2574
2010-02-18,0.2498
2010-02-19,0.249
2010-02-22,0.2439
2010-02-23,0.2682
2010-02-24,0.2627
2010-02-25,0.2796
2010-02-26,0.2768
2010-03-01,0.2812
2010-03-02,0.2664
2010-03-03,0.254
2010-03-04,0.2445
2010-03-05,0.2644
2010-03-08,0.2442
2010-03-09,0.2271
2010-03-10,0.221
2010-03-11,0.2072
2010-03-12,0.1926
2010-03-15,0.1764
2010-03-16,0.178
2010-03-17,0.1713
2010-03-18,0.1651
2010-03-19,0.1647
2010-03-22,0.1464
2010-03-23,0.1343
2010-03-24,0.1272
2010-03-25,0.1236
2010-03-26,0.1275
2010-03-29,0.12
2010-03-30,0.1298
2010-03-31,0.129
2010-04-01,0.1364
2010-04-05,0.1389
2010-04-06,0.1297
2010-04-07,0.13
2010-04-08,0.1206
2010-04-09,0.1281
2010-04-12,0.149
2010-04-13,0.1409
2010-04-14,0.133
2010-04-15,0.1377
2010-04-16,0.1546
2010-04-19,0.1469
2010-04-20,0.1519
2010-04-21,0.1599
2010-04-22,0.1661
2010-04-23,0.1834
2010-04-26,0.1792
2010-04-27,0.235
2010-04-28,0.252
2010-04-29,0.2594
2010-04-30,0.267
2010-05-03,0.272
2010-05-04,0.3266
2010-05-05,0.3666
2010-05-06,0.3975
2010-05-07,0.4265
2010-05-10,0.43
2010-05-11,0.4594
2010-05-12,0.463
2010-05-13,0.4665
2010-05-14,0.4936
2010-05-17,0.4979
2010-05-18,0.4809
2010-05-19,0.5083
2010-05-20,0.5275
2010-05-21,0.5367
2010-05-24,0.5523
2010-05-25,0.5753
2010-05-26,0.5811
2010-05-27,0.5837
2010-05-28,0.5867
2010-06-01,0.5925
2010-06-02,0.5856
2010-06-03,0.581
2010-06-04,0.6207
2010-06-07,0.611
2010-06-08,0.6165
2010-06-09,0.6016
2010-06-10,0.5993
2010-06-11,0.596
2010-06-14,0.5886
2010-06-15,0.5663
2010-06-16,0.5404
2010-06-17,0.5188
2010-06-18,0.494
2010-06-21,0.4694
2010-06-22,0.4616
2010-06-23,0.4617
2010-06-24,0.459
2010-06-25,0.4344
2010-06-28,0.442
2010-06-29,0.4954
2010-06-30,0.4921
2010-07-01,0.5207
2010-07-02,0.5074
2010-07-06,0.4924
2010-07-07,0.4694
2010-07-08,0.4629
2010-07-09,0.4177
2010-07-12,0.3987
2010-07-13,0.4048
2010-07-14,0.3804
2010-07-15,0.3746
2010-07-16,0.408
2010-07-19,0.3951
2010-07-20,0.3827
2010-07-21,0.3624
2010-07-22,0.3576
2010-07-23,0.3648
2010-07-26,0.3526
2010-07-27,0.3498
2010-07-28,0.325
2010-07-29,0.3122
2010-07-30,0.3074
2010-08-02,0.3367
2010-08-03,0.3432
2010-08-04,0.3349
2010-08-05,0.3179
2010-08-06,0.3198
2010-08-09,0.3005
2010-08-10,0.276
2010-08-11,0.4135
2010-08-12,0.4228
2010-08-13,0.4244
2010-08-16,0.415
2010-08-17,0.4224
2010-08-18,0.4116
2010-08-19,0.4117
2010-08-20,0.4167
2010-08-23,0.4012
2010-08-24,0.439
2010-08-25,0.4251
2010-08-26,0.4003
2010-08-27,0.3804
2010-08-30,0.3829
2010-08-31,0.3738
2010-09-01,0.4202
2010-09-02,0.4041
2010-09-03,0.4006
2010-09-07,0.4456
2010-09-08,0.4387
2010-09-09,0.4288
2010-09-10,0.4161
2010-09-13,0.4322
2010-09-14,0.4149
2010-09-15,0.434
2010-09-16,0.4271
2010-09-17,0.4174
2010-09-20,0.4082
2010-09-21,0.3948
2010-09-22,0.4391
2010-09-23,0.4412
2010-09-24,0.4469
2010-09-27,0.4294
2010-09-28,0.424
2010-09-29,0.3953
2010-09-30,0.3628
2010-10-01,0.3195
2010-10-04,0.3304
2010-10-05,0.3591
2010-10-06,0.3627
2010-10-07,0.3506
2010-10-08,0.3329
2010-10-11,0.3038
2010-10-12,0.289
2010-10-13,0.2878
2010-10-14,0.2849
2010-10-15,0.2942
2010-10-18,0.2734
2010-10-19,0.282
2010-10-20,0.2874
2010-10-21,0.298
2010-10-22,0.2747
2010-10-25,0.2634
2010-10-26,0.259
2010-10-27,0.2438
2010-10-28,0.2247
2010-10-29,0.2058
2010-11-01,0.1999
2010-11-02,0.2004
2010-11-03,0.2026
2010-11-04,0.2023
2010-11-05,0.2289
2010-11-08,0.2299
2010-11-09,0.2312
2010-11-10,0.2409
2010-11-11,0.2528
2010-11-12,0.2502
2010-11-15,0.2454
2010-11-16,0.2615
2010-11-17,0.2629
2010-11-18,0.2903
2010-11-19,0.2906
2010-11-22,0.2875
2010-11-23,0.3664
2010-11-24,0.3773
2010-11-26,0.3682
2010-11-29,0.3903
2010-11-30,0.4329
2010-12-01,0.4695
2010-12-02,0.4832
2010-12-03,0.4782
2010-12-06,0.4652
2010-12-07,0.4685
2010-12-08,0.4486
2010-12-09,0.4348
2010-12-10,0.4264
2010-12-13,0.4288
2010-12-14,0.4133
2010-12-15,0.3986
2010-12-16,0.3719
2010-12-17,0.348
2010-12-20,0.3476
2010-12-21,0.3229
2010-12-22,0.3028
2010-12-23,0.2601
2010-12-27,0.2138
2010-12-28,0.2026
2010-12-29,0.1859
2010-12-30,0.1889
2010-12-31,0.1834
2011-01-03,0.1813
2011-01-04,0.1822
2011-01-05,0.1862
2011-01-06,0.1785
2011-01-07,0.1906
2011-01-10,0.1911
2011-01-11,0.1976
2011-01-12,0.262
2011-01-13,0.2898
2011-01-14,0.2966
2011-01-18,0.3051
2011-01-19,0.2892
2011-01-20,0.2946
2011-01-21,0.2789
2011-01-24,0.2596
2011-01-25,0.2481
2011-01-26,0.231
2011-01-27,0.2156
2011-01-28,0.2287
2011-01-31,0.2252
2011-02-01,0.2578
2011-02-02,0.2403
2011-02-03,0.2581
2011-02-04,0.2451
2011-02-07,0.2209
2011-02-08,0.2016
2011-02-09,0.19
2011-02-10,0.1931
2011-02-11,0.1743
2011-02-14,0.169
